No;Jenis BMN;Kode Barang;NUP;Nama Barang;;Merk;Kode1;Kode2;Kode3;ISBN1;ISBN2;ISBN3;Barcode1;Barcode2;Barcode3
4426;ASET TETAP LAINNYA;6010101001;2352;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4436;ASET TETAP LAINNYA;6010101001;2362;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4533;ASET TETAP LAINNYA;6010101001;2459;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4551;ASET TETAP LAINNYA;6010101001;2477;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4590;ASET TETAP LAINNYA;6010101001;2516;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4632;ASET TETAP LAINNYA;6010101001;2558;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4677;ASET TETAP LAINNYA;6010101001;2603;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4702;ASET TETAP LAINNYA;6010101001;2628;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4802;ASET TETAP LAINNYA;6010101001;2728;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4839;ASET TETAP LAINNYA;6010101001;2765;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4911;ASET TETAP LAINNYA;6010101001;2837;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4956;ASET TETAP LAINNYA;6010101001;2882;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5031;ASET TETAP LAINNYA;6010101001;2957;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5064;ASET TETAP LAINNYA;6010101001;2990;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5066;ASET TETAP LAINNYA;6010101001;2992;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5105;ASET TETAP LAINNYA;6010101001;3031;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5142;ASET TETAP LAINNYA;6010101001;3068;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5174;ASET TETAP LAINNYA;6010101001;3100;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5346;ASET TETAP LAINNYA;6010101001;3272;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5405;ASET TETAP LAINNYA;6010101001;3331;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5584;ASET TETAP LAINNYA;6010101001;3510;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5588;ASET TETAP LAINNYA;6010101001;3514;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5597;ASET TETAP LAINNYA;6010101001;3523;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5685;ASET TETAP LAINNYA;6010101001;3611;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5909;ASET TETAP LAINNYA;6010101001;3835;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5944;ASET TETAP LAINNYA;6010101001;3870;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5955;ASET TETAP LAINNYA;6010101001;3881;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6052;ASET TETAP LAINNYA;6010101001;3978;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6079;ASET TETAP LAINNYA;6010101001;4005;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6105;ASET TETAP LAINNYA;6010101001;4031;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6125;ASET TETAP LAINNYA;6010101001;4051;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6218;ASET TETAP LAINNYA;6010101001;4144;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6219;ASET TETAP LAINNYA;6010101001;4145;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6268;ASET TETAP LAINNYA;6010101001;4194;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6270;ASET TETAP LAINNYA;6010101001;4196;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6272;ASET TETAP LAINNYA;6010101001;4198;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6323;ASET TETAP LAINNYA;6010101001;4249;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6339;ASET TETAP LAINNYA;6010101001;4265;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6350;ASET TETAP LAINNYA;6010101001;4276;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6445;ASET TETAP LAINNYA;6010101001;4371;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6456;ASET TETAP LAINNYA;6010101001;4382;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6465;ASET TETAP LAINNYA;6010101001;4391;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6475;ASET TETAP LAINNYA;6010101001;4401;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6488;ASET TETAP LAINNYA;6010101001;4414;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6554;ASET TETAP LAINNYA;6010101001;4480;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6559;ASET TETAP LAINNYA;6010101001;4485;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6597;ASET TETAP LAINNYA;6010101001;4523;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6690;ASET TETAP LAINNYA;6010101001;4616;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6744;ASET TETAP LAINNYA;6010101001;4670;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6749;ASET TETAP LAINNYA;6010101001;4675;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6802;ASET TETAP LAINNYA;6010101001;4728;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6835;ASET TETAP LAINNYA;6010101001;4761;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6916;ASET TETAP LAINNYA;6010101001;4842;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6927;ASET TETAP LAINNYA;6010101001;4853;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6994;ASET TETAP LAINNYA;6010101001;4920;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7032;ASET TETAP LAINNYA;6010101001;4958;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7125;ASET TETAP LAINNYA;6010101001;5051;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7142;ASET TETAP LAINNYA;6010101001;5068;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7159;ASET TETAP LAINNYA;6010101001;5085;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7197;ASET TETAP LAINNYA;6010101001;5123;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7211;ASET TETAP LAINNYA;6010101001;5137;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7213;ASET TETAP LAINNYA;6010101001;5139;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7229;ASET TETAP LAINNYA;6010101001;5155;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7267;ASET TETAP LAINNYA;6010101001;5193;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7328;ASET TETAP LAINNYA;6010101001;5254;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7336;ASET TETAP LAINNYA;6010101001;5262;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7406;ASET TETAP LAINNYA;6010101001;5332;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7445;ASET TETAP LAINNYA;6010101001;5371;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7462;ASET TETAP LAINNYA;6010101001;5388;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7513;ASET TETAP LAINNYA;6010101001;5439;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7521;ASET TETAP LAINNYA;6010101001;5447;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7567;ASET TETAP LAINNYA;6010101001;5493;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7579;ASET TETAP LAINNYA;6010101001;5505;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7629;ASET TETAP LAINNYA;6010101001;5555;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7666;ASET TETAP LAINNYA;6010101001;5592;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7719;ASET TETAP LAINNYA;6010101001;5645;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7813;ASET TETAP LAINNYA;6010101001;5739;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7956;ASET TETAP LAINNYA;6010101001;5882;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8014;ASET TETAP LAINNYA;6010101001;5940;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8017;ASET TETAP LAINNYA;6010101001;5943;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8186;ASET TETAP LAINNYA;6010101001;6112;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8277;ASET TETAP LAINNYA;6010101001;6203;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8281;ASET TETAP LAINNYA;6010101001;6207;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8304;ASET TETAP LAINNYA;6010101001;6230;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8313;ASET TETAP LAINNYA;6010101001;6239;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8330;ASET TETAP LAINNYA;6010101001;6256;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8385;ASET TETAP LAINNYA;6010101001;6311;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8411;ASET TETAP LAINNYA;6010101001;6337;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8502;ASET TETAP LAINNYA;6010101001;6428;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8525;ASET TETAP LAINNYA;6010101001;6451;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8569;ASET TETAP LAINNYA;6010101001;6495;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8577;ASET TETAP LAINNYA;6010101001;6503;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8587;ASET TETAP LAINNYA;6010101001;6513;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8635;ASET TETAP LAINNYA;6010101001;6561;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8636;ASET TETAP LAINNYA;6010101001;6562;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8673;ASET TETAP LAINNYA;6010101001;6599;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8798;ASET TETAP LAINNYA;6010101001;6724;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8813;ASET TETAP LAINNYA;6010101001;6739;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8826;ASET TETAP LAINNYA;6010101001;6752;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8851;ASET TETAP LAINNYA;6010101001;6777;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8866;ASET TETAP LAINNYA;6010101001;6792;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8870;ASET TETAP LAINNYA;6010101001;6796;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8888;ASET TETAP LAINNYA;6010101001;6814;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8892;ASET TETAP LAINNYA;6010101001;6818;Monografi;Aktif;;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2173;ASET TETAP LAINNYA;6010101001;99;Monografi;Aktif;01847/UMUM/SETBAN/2019 Tanggal 22 Oktober 2019;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3555;ASET TETAP LAINNYA;6010101001;1481;Monografi;Aktif;01847/UMUM/SETBAN/2019 Tanggal 22 Oktober 2019;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5102;ASET TETAP LAINNYA;6010101001;3028;Monografi;Aktif;01847/UMUM/SETBAN/2019 Tanggal 22 Oktober 2019;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6868;ASET TETAP LAINNYA;6010101001;4794;Monografi;Aktif;01847/UMUM/SETBAN/2019 Tanggal 22 Oktober 2019;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6928;ASET TETAP LAINNYA;6010101001;4854;Monografi;Aktif;Ada Berita Apa Hari Ini, Den Sastro?;K 899.211 DAM a;;;;#N/A;#N/A;<00066439>;#N/A;#N/A
8319;ASET TETAP LAINNYA;6010101001;6245;Monografi;Aktif;Ada Berita Apa Hari Ini, Den Sastro?;K 899.211 DAM a;;;;#N/A;#N/A;<00066439>;#N/A;#N/A
2774;ASET TETAP LAINNYA;6010101001;700;Monografi;Aktif;60 Puisi Ind. terbaik 2009;K 899.211 ENA e;;;978-979-22-4358-1;#N/A;#N/A;<00009618><00009619>;#N/A;#N/A
3202;ASET TETAP LAINNYA;6010101001;1128;Monografi;Aktif;2 judul buku;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3529;ASET TETAP LAINNYA;6010101001;1455;Monografi;Aktif;2 judul buku;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4206;ASET TETAP LAINNYA;6010101001;2132;Monografi;Aktif;2 judul buku;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4301;ASET TETAP LAINNYA;6010101001;2227;Monografi;Aktif;2 judul buku;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4942;ASET TETAP LAINNYA;6010101001;2868;Monografi;Aktif;2 Judul Buku bhs Inggris;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6195;ASET TETAP LAINNYA;6010101001;4121;Monografi;Aktif;2 Judul Buku bhs Inggris;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3576;ASET TETAP LAINNYA;6010101001;1502;Monografi;Aktif;2 Judul buku Inggris;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3726;ASET TETAP LAINNYA;6010101001;1652;Monografi;Aktif;2 Judul buku Inggris;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4666;ASET TETAP LAINNYA;6010101001;2592;Monografi;Aktif;60 Puisi Ind. terbaik 2009;K 899.211 ENA e;;;978-979-22-4358-1;#N/A;#N/A;<00009618><00009619>;#N/A;#N/A
2986;ASET TETAP LAINNYA;6010101001;912;Monografi;Aktif;4 You, Ladies;K 899.213 KAR e;;;;#N/A;#N/A;<00048568><00048569>;#N/A;#N/A
4498;ASET TETAP LAINNYA;6010101001;2424;Monografi;Aktif;4 You, Ladies;K 899.213 KAR e;;;;#N/A;#N/A;<00048568><00048569>;#N/A;#N/A
2746;ASET TETAP LAINNYA;6010101001;672;Monografi;Aktif;3 judul;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3541;ASET TETAP LAINNYA;6010101001;1467;Monografi;Aktif;3 judul;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4223;ASET TETAP LAINNYA;6010101001;2149;Monografi;Aktif;3 judul;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4581;ASET TETAP LAINNYA;6010101001;2507;Monografi;Aktif;3 judul bhsa Inggris;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6239;ASET TETAP LAINNYA;6010101001;4165;Monografi;Aktif;3 judul bhsa Inggris;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8785;ASET TETAP LAINNYA;6010101001;6711;Monografi;Aktif;3 judul bhsa Inggris;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4341;ASET TETAP LAINNYA;6010101001;2267;Monografi;Aktif;Jodohku, It'S You;K 899.213 KAR j;;;;#N/A;#N/A;<00048564><00048565>;#N/A;#N/A
6975;ASET TETAP LAINNYA;6010101001;4901;Monografi;Aktif;Jodohku, It'S You;K 899.213 KAR j;;;;#N/A;#N/A;<00048564><00048565>;#N/A;#N/A
2945;ASET TETAP LAINNYA;6010101001;871;Monografi;Aktif;5 judul buku;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3290;ASET TETAP LAINNYA;6010101001;1216;Monografi;Aktif;5 Judul buku;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4171;ASET TETAP LAINNYA;6010101001;2097;Monografi;Aktif;5 Judul buku;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4481;ASET TETAP LAINNYA;6010101001;2407;Monografi;Aktif;5 Judul buku;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5860;ASET TETAP LAINNYA;6010101001;3786;Monografi;Aktif;5 judul buku;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7012;ASET TETAP LAINNYA;6010101001;4938;Monografi;Aktif;5 judul buku;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7028;ASET TETAP LAINNYA;6010101001;4954;Monografi;Aktif;5 judul buku;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
7589;ASET TETAP LAINNYA;6010101001;5515;Monografi;Aktif;5 judul buku;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8149;ASET TETAP LAINNYA;6010101001;6075;Monografi;Aktif;5 Judul buku;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
8292;ASET TETAP LAINNYA;6010101001;6218;Monografi;Aktif;5 Judul buku;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2247;ASET TETAP LAINNYA;6010101001;173;Monografi;Aktif;5 judul buku Inggris;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2309;ASET TETAP LAINNYA;6010101001;235;Monografi;Aktif;5 judul buku Inggris;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3044;ASET TETAP LAINNYA;6010101001;970;Monografi;Aktif;5 judul buku Inggris;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5768;ASET TETAP LAINNYA;6010101001;3694;Monografi;Aktif;5 judul buku Inggris;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
6974;ASET TETAP LAINNYA;6010101001;4900;Monografi;Aktif;5 judul buku Inggris;-;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
